Nanometer data for AMTIS sensor (supplied by shanghai wangjunfa)
CENTER:10800.00NM   FWHM:4300.00NM
 6800.0000 0.0095785   1470.59
 6900.0000 0.0327380   1449.28
 7000.0000 0.0611150   1428.57
 7100.0000 0.0863470   1408.45
 7200.0000 0.1000700   1388.89
 7300.0000 0.0965870   1369.86
 7400.0000 0.1316100   1351.35
 7500.0000 0.3000000   1333.33
 7600.0000 0.4000000   1315.79
 7700.0000 0.5000000   1298.70
 7800.0000 0.6000000   1282.05
 7900.0000 0.7000000   1265.82
 8000.0000 0.8000000   1250.00
 8100.0000 0.8600600   1234.57
 8200.0000 0.8892500   1219.51
 8300.0000 0.9117200   1204.82
 8400.0000 0.9377800   1190.48
 8500.0000 0.9639200   1176.47
 8600.0000 0.9860300   1162.79
 8700.0000 0.9900000   1149.43
 8800.0000 1.0000000   1136.36
 8900.0000 0.9961700   1123.60
 9000.0000 0.9827200   1111.11
 9100.0000 0.9652300   1098.90
 9200.0000 0.9464400   1086.96
 9300.0000 0.9290900   1075.27
 9400.0000 0.9159200   1063.83
 9500.0000 0.9096700   1052.63
 9600.0000 0.9128900   1041.67
 9700.0000 0.9236700   1030.93
 9800.0000 0.9356300   1020.41
 9900.0000 0.9424000   1010.10
10000.0000 0.9420300   1000.00
10100.0000 0.9370100    990.10
10200.0000 0.9300000    980.39
10300.0000 0.9231300    970.87
10400.0000 0.9162800    961.54
10500.0000 0.9088000    952.38
10600.0000 0.9000000    943.40
10700.0000 0.8893100    934.58
10800.0000 0.8764600    925.93
10900.0000 0.8612800    917.43
11000.0000 0.8436000    909.09
11100.0000 0.8232300    900.90
11200.0000 0.8000000    892.86
11300.0000 0.7733100    884.96
11400.0000 0.7408800    877.19
11500.0000 0.7000000    869.57
11600.0000 0.6502100    862.07
11700.0000 0.6000000    854.70
11800.0000 0.5580900    847.46
11900.0000 0.5251900    840.34
12000.0000 0.5000000    833.33
12100.0000 0.4812200    826.45
12200.0000 0.4675000    819.67
12300.0000 0.4575000    813.01
12400.0000 0.4498700    806.45
12500.0000 0.4432600    800.00
12600.0000 0.4363100    793.65
12700.0000 0.4276900    787.40
12800.0000 0.4160300    781.25
12900.0000 0.4000000    775.19
13000.0000 0.3790300    769.23
13100.0000 0.3557600    763.36
13200.0000 0.3336200    757.58
13300.0000 0.3160200    751.88
13400.0000 0.3062800    746.27
13500.0000 0.3048800    740.74
13600.0000 0.3095400    735.29
13700.0000 0.3178000    729.93
13800.0000 0.3272500    724.64
13900.0000 0.3354600    719.42
14000.0000 0.3400000    714.29
14100.0000 0.3390600    709.22
14200.0000 0.3333000    704.23
14300.0000 0.3240100    699.30
14400.0000 0.3124800    694.44
14500.0000 0.3000000    689.66
14600.0000 0.2875700    684.93
14700.0000 0.2751200    680.27
14800.0000 0.2622900    675.68
14900.0000 0.2487200    671.14
15000.0000 0.2340500    666.67
15100.0000 0.2179300    662.25
15200.0000 0.2000000    657.89
15300.0000 0.1802600    653.59
15400.0000 0.1601200    649.35
15500.0000 0.1413500    645.16
15600.0000 0.1257200    641.03
15700.0000 0.1150000    636.94
15800.0000 0.1104100    632.91
15900.0000 0.1110000    628.93
16000.0000 0.1152900    625.00
16100.0000 0.1217800    621.12
16200.0000 0.1289800    617.28
16300.0000 0.1354200    613.50
16400.0000 0.1395800    609.76
16500.0000 0.1400000    606.06
16600.0000 0.1355700    602.41
16700.0000 0.1268200    598.80
16800.0000 0.1146600    595.24
16900.0000 0.1000000    591.72
17000.0000 0.0837610    588.24
17100.0000 0.0668280    584.80
17200.0000 0.0500810    581.40
17300.0000 0.0344030    578.03
17400.0000 0.0206740    574.71
17500.0000 0.0097760    571.43
17600.0000 0.0025909    568.18
