400	0.00%	0.00%	0.00%	0.00%
401	0.00%	0.00%	0.00%	0.00%
402	0.00%	0.00%	0.00%	0.00%
403	0.00%	0.00%	0.00%	0.00%
404	0.00%	0.00%	0.00%	0.00%
405	0.00%	0.00%	0.00%	0.00%
406	0.01%	0.00%	0.00%	0.00%
407	0.01%	0.00%	0.00%	0.00%
408	0.01%	0.00%	0.00%	0.00%
409	0.02%	0.00%	0.00%	0.00%
410	0.02%	0.00%	0.00%	0.00%
411	0.03%	0.00%	0.00%	0.00%
412	0.04%	0.00%	0.00%	0.00%
413	0.06%	0.00%	0.00%	0.00%
414	0.07%	0.00%	0.00%	0.00%
415	0.10%	0.00%	0.00%	0.00%
416	0.14%	0.00%	0.00%	0.00%
417	0.19%	0.00%	0.00%	0.00%
418	0.25%	0.00%	0.00%	0.00%
419	0.33%	0.00%	0.00%	0.00%
420	0.42%	0.00%	0.00%	0.00%
421	0.54%	0.00%	0.00%	0.00%
422	0.68%	0.00%	0.00%	0.00%
423	0.88%	0.00%	0.00%	0.00%
424	1.14%	0.00%	0.00%	0.00%
425	1.50%	0.00%	0.00%	0.00%
426	2.03%	0.00%	0.00%	0.00%
427	2.83%	0.00%	0.00%	0.00%
428	4.00%	0.00%	0.00%	0.00%
429	5.66%	0.00%	0.00%	0.00%
430	7.87%	0.00%	0.00%	0.00%
431	10.61%	0.00%	0.00%	0.00%
432	13.69%	0.00%	0.00%	0.00%
433	16.87%	0.00%	0.00%	0.00%
434	19.82%	0.00%	0.00%	0.00%
435	22.27%	0.00%	0.00%	0.00%
436	24.06%	0.00%	0.00%	0.00%
437	25.18%	0.00%	0.00%	0.00%
438	25.78%	0.00%	0.00%	0.00%
439	26.08%	0.00%	0.00%	0.00%
440	26.34%	0.00%	0.00%	0.00%
441	26.70%	0.00%	0.00%	0.00%
442	27.34%	0.00%	0.00%	0.00%
443	28.28%	0.00%	0.00%	0.00%
444	29.48%	0.00%	0.00%	0.00%
445	30.88%	0.00%	0.00%	0.00%
446	32.46%	0.00%	0.00%	0.01%
447	34.19%	0.00%	0.00%	0.01%
448	36.06%	0.00%	0.00%	0.01%
449	38.07%	0.00%	0.00%	0.01%
450	40.20%	0.00%	0.00%	0.01%
451	42.43%	0.00%	0.00%	0.01%
452	44.71%	0.00%	0.00%	0.01%
453	47.02%	0.00%	0.00%	0.01%
454	49.32%	0.00%	0.00%	0.01%
455	51.59%	0.00%	0.00%	0.01%
456	53.79%	0.00%	0.00%	0.01%
457	55.90%	0.00%	0.01%	0.01%
458	57.91%	0.00%	0.01%	0.01%
459	59.81%	0.00%	0.01%	0.01%
460	61.59%	0.00%	0.01%	0.01%
461	63.37%	0.00%	0.01%	0.01%
462	65.01%	0.00%	0.01%	0.01%
463	66.49%	0.00%	0.01%	0.01%
464	67.75%	0.00%	0.01%	0.01%
465	68.77%	0.00%	0.01%	0.01%
466	69.51%	0.00%	0.01%	0.01%
467	70.00%	0.00%	0.01%	0.01%
468	70.28%	0.00%	0.01%	0.01%
469	70.43%	0.00%	0.01%	0.01%
470	70.55%	0.01%	0.01%	0.01%
471	70.73%	0.01%	0.01%	0.01%
472	71.05%	0.01%	0.01%	0.01%
473	71.54%	0.00%	0.01%	0.01%
474	72.23%	0.00%	0.01%	0.01%
475	73.07%	0.00%	0.01%	0.01%
476	74.03%	0.00%	0.01%	0.01%
477	75.04%	0.00%	0.01%	0.01%
478	76.05%	0.00%	0.01%	0.01%
479	77.02%	0.00%	0.01%	0.01%
480	77.94%	0.00%	0.01%	0.01%
481	78.82%	0.00%	0.01%	0.00%
482	79.65%	0.00%	0.01%	0.00%
483	80.44%	0.00%	0.01%	0.00%
